date,RSI
2019-07-11 11:30,70.604
2019-07-11 12:30,70.7684
2019-07-11 13:30,64.9283
2019-07-11 14:30,61.0824
2019-07-11 15:30,57.1611
2019-07-12 09:30,64.5294
2019-07-12 10:30,66.73
2019-07-12 11:30,64.5595
2019-07-12 12:30,62.4681
2019-07-12 13:30,57.3167
2019-07-12 14:30,59.8345
2019-07-12 15:30,60.5691
2019-07-15 09:30,61.1737
2019-07-15 10:30,60.4654
2019-07-15 11:30,54.354
2019-07-15 12:30,56.2783
2019-07-15 13:30,57.427
2019-07-15 14:30,58.5018
2019-07-15 15:30,59.9165
2019-07-16 09:30,52.3008
2019-07-16 10:30,54.5269
2019-07-16 11:30,54.2506
2019-07-16 12:30,53.7453
2019-07-16 13:30,52.6564
2019-07-16 14:30,54.0019
2019-07-16 15:30,54.0198
2019-07-17 09:30,45.342
2019-07-17 10:30,42.5845
2019-07-17 11:30,44.082
2019-07-17 12:30,42.5863
2019-07-17 13:30,41.4604
2019-07-17 14:30,43.3089
2019-07-17 15:30,41.7838
2019-07-18 09:30,34.0215
2019-07-18 10:30,31.0412
2019-07-18 11:30,29.9841
2019-07-18 12:30,34.4997
2019-07-18 13:30,37.9481
2019-07-18 14:30,39.6692
2019-07-18 15:30,41.0577
2019-07-19 09:30,39.0208
2019-07-19 10:30,38.0779
2019-07-19 11:30,37.0629
2019-07-19 12:30,36.6059
2019-07-19 13:30,34.6406
2019-07-19 14:30,32.7083
2019-07-19 15:30,32.1117
2019-07-22 09:30,39.0802
2019-07-22 10:30,41.1526
2019-07-22 11:30,41.24
2019-07-22 12:30,40.9064
2019-07-22 13:30,41.2671
2019-07-22 14:30,41.3033
2019-07-22 15:30,41.1342
2019-07-23 09:30,47.1994
2019-07-23 10:30,46.4846
2019-07-23 11:30,42.0818
2019-07-23 12:30,39.3064
2019-07-23 13:30,45.8512
2019-07-23 14:30,45.7823
2019-07-23 15:30,47.5338
2019-07-24 09:30,44.5509
2019-07-24 10:30,44.5399
2019-07-24 11:30,45.4072
2019-07-24 12:30,45.7207
2019-07-24 13:30,45.4715
2019-07-24 14:30,48.9915
2019-07-24 15:30,49.1519
2019-07-25 09:30,54.6888
2019-07-25 10:30,58.4622
2019-07-25 11:30,61.9873
2019-07-25 12:30,62.506
2019-07-25 13:30,61.8651
2019-07-25 14:30,62.0585
2019-07-25 15:30,64.8223
2019-07-26 09:30,73.0142
2019-07-26 10:30,71.4288
2019-07-26 11:30,73.6661
2019-07-26 12:30,72.7461
2019-07-26 13:30,69.5544
2019-07-26 14:30,69.0728
2019-07-26 15:30,69.2382
2019-07-29 09:30,77.2957
2019-07-29 10:30,79.0708
2019-07-29 11:30,74.3499
2019-07-29 12:30,72.7545
2019-07-29 13:30,73.2184
2019-07-29 14:30,72.5897
2019-07-29 15:30,71.1533
2019-07-30 09:30,71.1802
2019-07-30 10:30,64.3182
2019-07-30 11:30,57.0602
2019-07-30 12:30,53.9997
2019-07-30 13:30,57.9064
2019-07-30 14:30,53.8916
2019-07-30 15:30,55.2628
2019-07-31 09:30,47.736
2019-07-31 10:30,47.7622
2019-07-31 11:30,49.5938
2019-07-31 12:30,47.8553
2019-07-31 13:30,47.4365
2019-07-31 14:30,47.4672
2019-07-31 15:30,42.0131
2019-08-01 09:30,49.7288
2019-08-01 10:30,51.3482
2019-08-01 11:30,50.0024
2019-08-01 12:30,43.8969
2019-08-01 13:30,39.1534
2019-08-01 14:30,37.1692
2019-08-01 15:30,38.345
2019-08-02 09:30,33.8469
2019-08-02 10:30,32.8642
2019-08-02 11:30,36.4405
2019-08-02 12:30,33.9501
2019-08-02 13:30,37.1858
2019-08-02 14:30,41.742
2019-08-02 15:30,42.2131
2019-08-05 09:30,30.7391
2019-08-05 10:30,31.9046
2019-08-05 11:30,30.257
2019-08-05 12:30,30.9461
2019-08-05 13:30,28.7162
2019-08-05 14:30,29.9193
2019-08-05 15:30,33.8771
2019-08-06 09:30,40.881
2019-08-06 10:30,38.2658
2019-08-06 11:30,40.4564
2019-08-06 12:30,46.999
2019-08-06 13:30,47.9267
2019-08-06 14:30,49.684
2019-08-06 15:30,53.5385
2019-08-07 09:30,30.9462
2019-08-07 10:30,34.0583
2019-08-07 11:30,31.9187
2019-08-07 12:30,34.13
2019-08-07 13:30,35.8853
2019-08-07 14:30,37.0106
2019-08-07 15:30,36.7544
2019-08-08 09:30,44.2261
2019-08-08 10:30,43.5034
2019-08-08 11:30,46.008
2019-08-08 12:30,46.1456
2019-08-08 13:30,44.7296
2019-08-08 14:30,45.4113
2019-08-08 15:30,47.8952
2019-08-09 09:30,44.9289
2019-08-09 10:30,44.9707
2019-08-09 11:30,47.3669
2019-08-09 12:30,51.1295
2019-08-09 13:30,52.2214
2019-08-09 14:30,50.7318
2019-08-09 15:30,50.222
2019-08-12 09:30,46.094
2019-08-12 10:30,44.3688
2019-08-12 11:30,45.9169
2019-08-12 12:30,44.2365
2019-08-12 13:30,41.4859
2019-08-12 14:30,40.8819
2019-08-12 15:30,40.8385
2019-08-13 09:30,48.8364
2019-08-13 10:30,46.8437
2019-08-13 11:30,47.0015
2019-08-13 12:30,48.5689
2019-08-13 13:30,50.077
2019-08-13 14:30,48.6556
2019-08-13 15:30,47.2003
2019-08-14 09:30,35.991
2019-08-14 10:30,35.1597
2019-08-14 11:30,37.0681
2019-08-14 12:30,39.9246
2019-08-14 13:30,37.9715
2019-08-14 14:30,36.9834
2019-08-14 15:30,36.3962
2019-08-15 09:30,40.2313
2019-08-15 10:30,39.9383
2019-08-15 11:30,39.8423
2019-08-15 12:30,39.1161
2019-08-15 13:30,38.862
2019-08-15 14:30,38.8613
2019-08-15 15:30,39.8157
2019-08-16 09:30,47.9193
2019-08-16 10:30,48.7354
2019-08-16 11:30,49.0354
2019-08-16 12:30,49.518
2019-08-16 13:30,47.6157
2019-08-16 14:30,47.3214
2019-08-16 15:30,49.1418
2019-08-19 09:30,54.9075
2019-08-19 10:30,56.0086
2019-08-19 11:30,57.0818
2019-08-19 12:30,57.6534
2019-08-19 13:30,56.5422
2019-08-19 14:30,56.447
2019-08-19 15:30,47.7438
2019-08-20 09:30,46.3108
2019-08-20 10:30,48.8375
2019-08-20 11:30,49.7961
2019-08-20 12:30,51.5791
2019-08-20 13:30,49.2685
2019-08-20 14:30,51.1472
2019-08-20 15:30,47.2023
2019-08-21 09:30,47.6338
2019-08-21 10:30,49.9587
2019-08-21 11:30,52.3026
2019-08-21 12:30,51.5333
2019-08-21 13:30,51.9731
2019-08-21 14:30,49.8048
2019-08-21 15:30,50.5938
2019-08-22 09:30,48.6125
2019-08-22 10:30,45.2139
2019-08-22 11:30,45.9853
2019-08-22 12:30,51.1741
2019-08-22 13:30,51.8146
2019-08-22 14:30,52.8972
2019-08-22 15:30,53.1497
2019-08-23 09:30,50.0603
2019-08-23 10:30,39.7157
2019-08-23 11:30,38.3272
2019-08-23 12:30,34.9962
2019-08-23 13:30,37.4205
2019-08-23 14:30,34.024
2019-08-23 15:30,31.4724
