Date,index,Open,High,Low,Close,Adj Close,Volume
2018-05-24,0,159.179993,159.270004,156.750000,157.500000,154.274933,1282400
2018-05-25,1,156.869995,157.449997,155.550003,157.070007,153.853745,1094600
2018-05-29,2,155.919998,156.550003,153.250000,153.309998,150.170715,1318000
2018-05-30,3,154.470001,156.660004,154.080002,156.490005,153.285629,1223300
2018-05-31,4,156.809998,157.149994,155.460007,156.259995,153.060318,2504700
2018-06-01,5,157.600006,158.529999,156.610001,157.800003,154.568802,1025200
2018-06-04,6,158.500000,158.919998,157.270004,157.529999,154.304321,641200
2018-06-05,7,158.869995,160.229996,158.699997,159.509995,156.243774,1179300
2018-06-06,8,159.000000,162.529999,157.839996,162.270004,159.773621,1555000
2018-06-07,9,160.889999,161.270004,159.250000,159.770004,157.312088,1227000
2018-06-08,10,159.000000,160.089996,158.380005,159.830002,157.371170,1079700
2018-06-11,11,159.970001,161.250000,159.220001,160.570007,158.099792,1289000
2018-06-12,12,160.990005,162.919998,160.449997,161.339996,158.857910,1179000
2018-06-13,13,162.000000,162.259995,160.210007,160.470001,158.001312,1048700
2018-06-14,14,161.850006,162.589996,161.169998,161.550003,159.064713,1169000
2018-06-15,15,161.080002,161.080002,159.029999,160.259995,157.794540,2856700
2018-06-18,16,158.330002,158.669998,157.570007,158.470001,156.032074,972900
2018-06-19,17,156.300003,156.369995,154.809998,155.309998,152.920700,1141300
2018-06-20,18,155.509995,155.710007,154.220001,155.020004,152.635162,1173600
2018-06-21,19,155.279999,156.389999,155.130005,155.869995,153.472076,2217100
2018-06-22,20,156.820007,158.979996,156.710007,158.139999,155.707153,1341000
2018-06-25,21,157.600006,157.600006,153.309998,154.800003,152.418549,1434500
2018-06-26,22,155.009995,155.320007,153.520004,154.190002,151.817932,1026100
2018-06-27,23,155.309998,157.259995,155.029999,155.539993,153.147156,1399300
2018-06-28,24,155.880005,156.690002,154.350006,156.679993,154.269608,1349500
2018-06-29,25,157.330002,159.770004,157.149994,158.149994,155.716995,1391000
2018-07-02,26,157.000000,158.699997,156.550003,158.279999,155.845001,1291900
2018-07-03,27,158.699997,159.470001,157.050003,157.179993,154.761917,640000
2018-07-05,28,162.000000,163.169998,161.070007,161.880005,159.389618,1547900
2018-07-06,29,161.990005,165.500000,161.520004,164.039993,161.516388,1642500
2018-07-09,30,165.080002,166.289993,164.809998,164.809998,162.274551,1293700
2018-07-10,31,165.110001,166.710007,164.630005,166.470001,163.909012,2150100
2018-07-11,32,163.179993,164.570007,162.619995,164.059998,161.536087,1518200
2018-07-12,33,164.669998,166.169998,163.089996,165.889999,163.337936,1913100
2018-07-13,34,165.149994,167.720001,164.809998,166.800003,164.233932,1501800
2018-07-16,35,168.029999,168.539993,166.740005,167.039993,164.470245,1399500
2018-07-17,36,167.050003,167.490005,166.300003,166.860001,164.293015,1854200
2018-07-18,37,166.229996,167.050003,164.250000,165.029999,162.491165,1641300
2018-07-19,38,163.949997,165.330002,162.690002,165.259995,162.717621,1553400
2018-07-20,39,163.179993,166.350006,163.149994,165.580002,163.032715,1326500
2018-07-23,40,164.419998,164.809998,161.750000,161.899994,159.409302,1745200
2018-07-24,41,162.619995,164.000000,162.410004,163.339996,160.827148,1685100
2018-07-25,42,164.830002,166.000000,162.960007,165.809998,163.259155,1562100
2018-07-26,43,162.770004,167.389999,162.309998,166.449997,163.889328,2223000
2018-07-27,44,166.520004,167.929993,165.570007,166.429993,163.869614,1470800
2018-07-30,45,166.429993,167.850006,165.000000,165.339996,162.796387,1268200
2018-07-31,46,165.779999,167.960007,165.580002,167.500000,164.923157,1673600
2018-08-01,47,167.589996,167.929993,164.649994,165.479996,162.934235,1447600
2018-08-02,48,164.100006,164.520004,162.910004,163.919998,161.398239,1597600
2018-08-03,49,163.130005,164.419998,163.050003,164.210007,162.501663,1050100
2018-08-06,50,154.259995,158.800003,153.520004,157.960007,156.316666,3928400
2018-08-07,51,158.970001,159.839996,156.470001,157.029999,155.396332,2552900
2018-08-08,52,157.410004,157.960007,156.490005,157.050003,155.416122,1740900
2018-08-09,53,157.000000,158.250000,156.240005,157.149994,155.515091,1003300
2018-08-10,54,155.830002,155.830002,154.130005,154.789993,153.179642,1303700
2018-08-13,55,155.490005,156.000000,153.589996,154.320007,152.714539,1337500
2018-08-14,56,155.330002,155.820007,154.509995,155.339996,153.723923,1612000
2018-08-15,57,154.130005,154.720001,152.520004,154.630005,153.021317,1352200
2018-08-16,58,155.699997,155.940002,154.330002,154.529999,152.922348,1102400
2018-08-17,59,154.160004,156.250000,154.160004,156.039993,154.416626,1662800
2018-08-20,60,156.639999,158.699997,156.639999,158.289993,156.643219,1161100
