Date,index,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0,70.050003,70.860001,69.629997,70.250000,70.250000,347000
2014-01-03,1,70.199997,70.900002,69.529999,69.620003,69.620003,224100
2014-01-06,2,70.059998,70.059998,68.790001,68.959999,68.959999,343800
2014-01-07,3,69.449997,71.709999,68.949997,71.279999,71.279999,474100
2014-01-08,4,71.139999,71.839996,70.809998,71.489998,71.489998,374400
2014-01-09,5,71.739998,72.379997,71.660004,71.989998,71.989998,332600
2014-01-10,6,71.989998,71.989998,70.800003,71.160004,71.160004,259900
2014-01-13,7,70.809998,71.480003,69.790001,70.250000,70.250000,337200
2014-01-14,8,70.830002,71.440002,70.489998,71.040001,71.040001,409600
2014-01-15,9,71.379997,73.440002,71.139999,72.709999,72.709999,591600
2014-01-16,10,72.540001,72.779999,71.139999,71.250000,71.250000,254600
2014-01-17,11,71.099998,71.339996,70.050003,70.239998,70.239998,328300
2014-01-21,12,70.690002,70.690002,69.709999,70.510002,70.510002,534800
2014-01-22,13,70.739998,70.739998,69.580002,70.440002,70.440002,258100
2014-01-23,14,69.790001,70.519997,69.790001,70.120003,70.120003,461400
2014-01-24,15,69.849998,69.949997,68.250000,68.370003,68.370003,435500
2014-01-27,16,67.339996,67.639999,65.709999,66.339996,66.339996,537200
2014-01-28,17,66.290001,66.290001,65.250000,65.760002,65.760002,491700
2014-01-29,18,65.430000,66.790001,64.000000,64.500000,64.500000,432600
2014-01-30,19,65.139999,66.300003,64.760002,65.769997,65.769997,396800
2014-01-31,20,65.000000,65.919998,65.000000,65.110001,65.110001,488300
2014-02-03,21,65.000000,65.220001,62.580002,62.790001,62.790001,849200
2014-02-04,22,63.139999,63.439999,62.009998,62.970001,62.970001,552200
2014-02-05,23,62.939999,63.680000,62.160000,63.009998,63.009998,499400
2014-02-06,24,63.310001,63.400002,62.490002,62.759998,62.759998,462800
2014-02-07,25,62.750000,63.470001,62.230000,62.509998,62.509998,665900
2014-02-10,26,62.509998,63.549999,61.790001,63.380001,63.380001,390700
2014-02-11,27,63.189999,63.459999,61.930000,62.220001,62.220001,819600
2014-02-12,28,57.810001,59.259998,55.160000,56.639999,56.639999,3007200
2014-02-13,29,56.009998,58.980000,55.799999,58.410000,58.410000,1563800
2014-02-14,30,58.099998,61.389999,57.380001,60.849998,60.849998,1459500
2014-02-18,31,60.939999,61.419998,60.110001,60.720001,60.720001,660800
2014-02-19,32,60.439999,61.560001,60.029999,60.070000,60.070000,486900
2014-02-20,33,59.939999,60.680000,59.459999,60.310001,60.310001,415100
2014-02-21,34,60.369999,61.950001,60.070000,61.049999,61.049999,654300
2014-02-24,35,60.650002,63.869999,60.650002,61.759998,61.759998,1541000
2014-02-25,36,61.580002,61.720001,58.889999,58.939999,58.939999,829400
2014-02-26,37,59.160000,59.950001,58.299999,59.200001,59.200001,813100
2014-02-27,38,60.660000,62.369999,60.509998,61.340000,61.340000,1181600
2014-02-28,39,61.459999,62.590000,61.459999,61.820000,61.820000,544000
2014-03-03,40,61.410000,62.040001,60.639999,61.310001,61.310001,536900
