date,EMA
2019-07-11 10:30,142.7676
2019-07-11 11:30,142.9712
2019-07-11 12:30,143.1587
2019-07-11 13:30,143.277
2019-07-11 14:30,143.3468
2019-07-11 15:30,143.369
2019-07-12 09:30,143.515
2019-07-12 10:30,143.693
2019-07-12 11:30,143.8305
2019-07-12 12:30,143.9317
2019-07-12 13:30,143.9622
2019-07-12 14:30,144.0339
2019-07-12 15:30,144.112
2019-07-15 09:30,144.1933
2019-07-15 10:30,144.2592
2019-07-15 11:30,144.2471
2019-07-15 12:30,144.2659
2019-07-15 13:30,144.3008
2019-07-15 14:30,144.3493
2019-07-15 15:30,144.4156
2019-07-16 09:30,144.3847
2019-07-16 10:30,144.3899
2019-07-16 11:30,144.3912
2019-07-16 12:30,144.3864
2019-07-16 13:30,144.3691
2019-07-16 14:30,144.3711
2019-07-16 15:30,144.3731
2019-07-17 09:30,144.2681
2019-07-17 10:30,144.1321
2019-07-17 11:30,144.0262
2019-07-17 12:30,143.9085
2019-07-17 13:30,143.7853
2019-07-17 14:30,143.6933
2019-07-17 15:30,143.5887
2019-07-18 09:30,143.3622
2019-07-18 10:30,143.0925
2019-07-18 11:30,142.8237
2019-07-18 12:30,142.6281
2019-07-18 13:30,142.4901
2019-07-18 14:30,142.3853
2019-07-18 15:30,142.3067
2019-07-19 09:30,142.2007
2019-07-19 10:30,142.0883
2019-07-19 11:30,141.9687
2019-07-19 12:30,141.8526
2019-07-19 13:30,141.713
2019-07-19 14:30,141.5504
2019-07-19 15:30,141.3918
2019-07-22 09:30,141.3166
2019-07-22 10:30,141.2709
2019-07-22 11:30,141.2304
2019-07-22 12:30,141.1889
2019-07-22 13:30,141.1549
2019-07-22 14:30,141.1244
2019-07-22 15:30,141.0947
2019-07-23 09:30,141.1242
2019-07-23 10:30,141.1429
2019-07-23 11:30,141.1074
2019-07-23 12:30,141.0381
2019-07-23 13:30,141.0401
2019-07-23 14:30,141.0411
2019-07-23 15:30,141.06
2019-07-24 09:30,141.0415
2019-07-24 10:30,141.0247
2019-07-24 11:30,141.0176
2019-07-24 12:30,141.014
2019-07-24 13:30,141.0082
2019-07-24 14:30,141.034
2019-07-24 15:30,141.0589
2019-07-25 09:30,141.1348
2019-07-25 10:30,141.2458
2019-07-25 11:30,141.3909
2019-07-25 12:30,141.5292
2019-07-25 13:30,141.6493
2019-07-25 14:30,141.7603
2019-07-25 15:30,141.8955
2019-07-26 09:30,142.1554
2019-07-26 10:30,142.3781
2019-07-26 11:30,142.6259
2019-07-26 12:30,142.843
2019-07-26 13:30,143.0147
2019-07-26 14:30,143.1662
2019-07-26 15:30,143.306
2019-07-29 09:30,143.6067
2019-07-29 10:30,143.9323
2019-07-29 11:30,144.1855
2019-07-29 12:30,144.4002
2019-07-29 13:30,144.6056
2019-07-29 14:30,144.786
2019-07-29 15:30,144.9373
2019-07-30 09:30,145.0747
2019-07-30 10:30,145.1409
2019-07-30 11:30,145.128
2019-07-30 12:30,145.0815
2019-07-30 13:30,145.0966
2019-07-30 14:30,145.0626
2019-07-30 15:30,145.0519
2019-07-31 09:30,144.9415
2019-07-31 10:30,144.8419
2019-07-31 11:30,144.7761
2019-07-31 12:30,144.6927
2019-07-31 13:30,144.6114
2019-07-31 14:30,144.5383
2019-07-31 15:30,144.3956
2019-08-01 09:30,144.3637
2019-08-01 10:30,144.3578
2019-08-01 11:30,144.3342
2019-08-01 12:30,144.2205
2019-08-01 13:30,144.0305
2019-08-01 14:30,143.8178
2019-08-01 15:30,143.6399
2019-08-02 09:30,143.3804
2019-08-02 10:30,143.1217
2019-08-02 11:30,142.9316
2019-08-02 12:30,142.7022
2019-08-02 13:30,142.5357
2019-08-02 14:30,142.4476
2019-08-02 15:30,142.3745
2019-08-05 09:30,142.016
2019-08-05 10:30,141.7092
2019-08-05 11:30,141.3778
2019-08-05 12:30,141.0879
2019-08-05 13:30,140.7519
2019-08-05 14:30,140.4646
2019-08-05 15:30,140.2608
2019-08-06 09:30,140.1884
2019-08-06 10:30,140.0543
2019-08-06 11:30,139.9704
2019-08-06 12:30,140.0185
2019-08-06 13:30,140.081
2019-08-06 14:30,140.1738
2019-08-06 15:30,140.3422
2019-08-07 09:30,139.7296
2019-08-07 10:30,139.2567
2019-08-07 11:30,138.7139
2019-08-07 12:30,138.2811
2019-08-07 13:30,137.9363
2019-08-07 14:30,137.654
2019-08-07 15:30,137.3873
2019-08-08 09:30,137.3524
2019-08-08 10:30,137.2932
2019-08-08 11:30,137.3139
2019-08-08 12:30,137.3367
2019-08-08 13:30,137.3094
2019-08-08 14:30,137.3032
2019-08-08 15:30,137.3657
2019-08-09 09:30,137.3284
2019-08-09 10:30,137.2957
2019-08-09 11:30,137.3285
2019-08-09 12:30,137.4629
2019-08-09 13:30,137.6164
2019-08-09 14:30,137.7155
2019-08-09 15:30,137.7917
2019-08-12 09:30,137.747
2019-08-12 10:30,137.6554
2019-08-12 11:30,137.6097
2019-08-12 12:30,137.5202
2019-08-12 13:30,137.3564
2019-08-12 14:30,137.1895
2019-08-12 15:30,137.0371
2019-08-13 09:30,137.0807
2019-08-13 10:30,137.066
2019-08-13 11:30,137.0563
2019-08-13 12:30,137.0843
2019-08-13 13:30,137.1452
2019-08-13 14:30,137.1666
2019-08-13 15:30,137.1512
2019-08-14 09:30,136.7935
2019-08-14 10:30,136.4374
2019-08-14 11:30,136.1558
2019-08-14 12:30,135.9632
2019-08-14 13:30,135.7219
2019-08-14 14:30,135.4689
2019-08-14 15:30,135.2195
2019-08-15 09:30,135.0724
2019-08-15 10:30,134.9303
2019-08-15 11:30,134.7988
2019-08-15 12:30,134.6589
2019-08-15 13:30,134.5252
2019-08-15 14:30,134.4042
2019-08-15 15:30,134.3105
2019-08-16 09:30,134.3747
2019-08-16 10:30,134.4495
2019-08-16 11:30,134.5231
2019-08-16 12:30,134.599
2019-08-16 13:30,134.6305
2019-08-16 14:30,134.6533
2019-08-16 15:30,134.7054
2019-08-19 09:30,134.863
2019-08-19 10:30,135.0287
2019-08-19 11:30,135.2012
2019-08-19 12:30,135.3691
2019-08-19 13:30,135.5045
2019-08-19 14:30,135.6255
2019-08-19 15:30,135.593
2019-08-20 09:30,135.5365
2019-08-20 10:30,135.5278
2019-08-20 11:30,135.5361
2019-08-20 12:30,135.5742
2019-08-20 13:30,135.5704
2019-08-20 14:30,135.5981
2019-08-20 15:30,135.5564
2019-08-21 09:30,135.5254
2019-08-21 10:30,135.534
2019-08-21 11:30,135.5803
2019-08-21 12:30,135.6105
2019-08-21 13:30,135.6447
2019-08-21 14:30,135.6443
2019-08-21 15:30,135.6553
2019-08-22 09:30,135.6371
2019-08-22 10:30,135.5693
2019-08-22 11:30,135.518
2019-08-22 12:30,135.5429
2019-08-22 13:30,135.5749
2019-08-22 14:30,135.6195
2019-08-22 15:30,135.6633
2019-08-23 09:30,135.6641
2019-08-23 10:30,135.4989
2019-08-23 11:30,135.3219
2019-08-23 12:30,135.0903
2019-08-23 13:30,134.911
2019-08-23 14:30,134.6718
2019-08-23 15:30,134.3902
